,id,所在地,アクセス,間取り,築年数,方角,面積,所在階,バス・トイレ,キッチン,放送・通信,室内設備,駐車場,周辺環境,建物構造,契約期間,賃料,diff
1817,1818,東京都大田区北馬込１丁目7-8,東急池上線	旗の台駅	徒歩5分		東急大井町線	旗の台駅	徒歩5分		都営浅草線	馬込駅	徒歩13分,3LDK,27年2ヶ月,南東,61.27m2,2階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	給湯,インターネット対応,エアコン付	シューズボックス／	バルコニー／	フローリング／	室内洗濯機置場	公営水道／	下水／	都市ガス,"駐車場	空有(1台)	27,000円	駐輪場	空有	バイク置き場	無",【コンビニ】 326m	【コンビニ】 246m	【スーパー】 455m	【スーパー】 415m	【スーパー】 360m	【コンビニ】 354m	【ドラッグストア】 509m	【ドラッグストア】 514m,木造,2年間,230000,36255.25
4117,4118,東京都新宿区大久保２丁目15-16,副都心線	西早稲田駅	徒歩7分		山手線	新大久保駅	徒歩13分		副都心線	東新宿駅	徒歩10分,2K,44年11ヶ月,,28.35m2,3階／3階建,専用バス／	専用トイレ／	バス・トイレ別,ガスコンロ／	コンロ2口／	コンロ設置可（コンロ2口）,,フローリング	公営水道／	下水／	都市ガス,,【ドラッグストア】 368m	【飲食店】 203m	【飲食店】 231m	【飲食店】 233m	【スーパー】 306m	【スーパー】 403m	【コンビニ】 133m	【郵便局】 271m	【図書館】 97m,鉄骨造,2年間,120000,35946.8359375
9556,9557,東京都板橋区双葉町,都営三田線	板橋本町駅	徒歩9分		東武東上線	中板橋駅	徒歩8分		都営三田線	板橋区役所前駅	徒歩15分,2LDK+S(納戸),新築,,51.53m2,3階／4階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	浴室乾燥機	／	温水洗浄便座／	洗面台独立,IHコンロ	／	コンロ3口／	システムキッチン	／	給湯,インターネット対応,エアコン付	フローリング／	室内洗濯機置場	公営水道／	プロパンガス,駐車場	無,,RC（鉄筋コンクリート）,2年間,244000,35901.109375
29427,29428,東京都中央区日本橋人形町２丁目,日比谷線	人形町駅	徒歩1分		半蔵門線	水天宮前駅	徒歩3分		都営新宿線	浜町駅	徒歩5分,1LDK,18年10ヶ月,,46.57m2,10階／12階建,専用トイレ／	バス・トイレ別／	シャワー／	洗面台独立／	脱衣所,システムキッチン	／	給湯,インターネット対応,エアコン付	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター	公営水道／	下水／	都市ガス,駐輪場	空有	駐車場	無	バイク置き場	無,【スーパー】 405m,SRC（鉄骨鉄筋コンクリート）,2年間,260000,35825.421875
1521,1522,東京都足立区扇３丁目,日暮里・舎人ライナー	高野(東京都)駅	徒歩5分		日暮里・舎人ライナー	扇大橋駅	徒歩8分		日暮里・舎人ライナー	江北駅	徒歩11分,3K,56年8ヶ月,南,33m2,1階／2階建,専用トイレ／	バス・トイレ別／	シャワー／	追焚機能,給湯,,フローリング,,,木造,,122000,35500.046875
22,23,東京都中央区佃１丁目,有楽町線	月島駅	徒歩6分		京葉線(東京－蘇我)	越中島駅	徒歩11分		有楽町線	新富町(東京都)駅	徒歩22分,2LDK,30年4ヶ月,北西,81.2m2,10階／42階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,IHコンロ	／	コンロ3口／	システムキッチン	／	独立キッチン,インターネット対応／	光ファイバー／	CSアンテナ／	BSアンテナ,冷房／	エアコン付	シューズボックス／	バルコニー／	24時間換気システム	／	2面採光／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,駐輪場	空有,,SRC（鉄骨鉄筋コンクリート）,,346000,35487.25
28522,28523,東京都品川区上大崎３丁目1‐30,山手線	目黒駅	徒歩2分		南北線	白金台駅	徒歩13分		山手線	五反田駅	徒歩13分,2LDK,2年1ヶ月,西,75.55m2,36階／38階建（地下2階）,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	カウンターキッチン,インターネット対応／	CATV,エアコン付／	床暖房	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター	公営水道／	下水／	都市ガス,,【公園】 206m	【デパート】 222m	【コンビニ】 139m	【銀行】 139m	【公園】 253m,RC（鉄筋コンクリート）,2年間,630000,35209.0625
12244,12245,東京都墨田区千歳１丁目,都営新宿線	浜町駅	徒歩13分		都営新宿線	森下(東京都)駅	徒歩6分		総武線・中央線（各停）	両国駅	徒歩10分,3LDK,12年0ヶ月,南,74.74m2,10階／10階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	温水洗浄便座／	洗面台独立,ガスコンロ／	コンロ2口／	システムキッチン	／	カウンターキッチン	／	給湯,インターネット対応,エアコン付	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	敷地内ごみ置き場	／	タイル張り	公営水道／	下水／	都市ガス,"駐車場	近隣	40,000円(税込)	距離216m	駐輪場	無	バイク置き場	無",【スーパー】 817m	【スーパー】 948m	【スーパー】 1104m	【スーパー】 1984m,RC（鉄筋コンクリート）,2年間,252000,35184.59375
29944,29945,東京都練馬区豊玉中３丁目28-15,西武池袋線	練馬駅	徒歩15分		西武池袋線	桜台(東京都)駅	徒歩16分		西武新宿線	野方駅	徒歩15分,4LDK,13年11ヶ月,東,85.31m2,3階／4階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,IHコンロ	／	コンロ3口／	システムキッチン	／	カウンターキッチン	／	給湯／	独立キッチン,インターネット対応,エアコン付／	床暖房	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	3面採光／	室内洗濯機置場／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,"駐車場	近隣	30,240円(税込)	距離300m	駐輪場	無	バイク置き場	無",【スーパー】 401m	【スーパー】 635m	【コンビニ】 371m	【コンビニ】 307m,RC（鉄筋コンクリート）,2年間	※この物件は	定期借家	です。,248000,35133.75
24055,24056,東京都大田区東雪谷１丁目,東急池上線	洗足池駅	徒歩5分		東急池上線	石川台駅	徒歩8分		東急大井町線	北千束駅	徒歩18分,4LDK,10年4ヶ月,南東,84.34m2,2階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立,コンロ3口／	システムキッチン	／	給湯,光ファイバー,エアコン付／	床暖房	床下収納	シューズボックス／	フローリング／	室内洗濯機置場	公営水道／	下水／	都市ガス,,,木造,,350000,34938.5625
24553,24554,東京都港区浜松町１丁目,山手線	浜松町駅	徒歩5分		都営大江戸線	大門(東京都)駅	徒歩5分		都営三田線	御成門駅	徒歩8分,2LDK+S(納戸),0年6ヶ月,北,58.26m2,32階／37階建,バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立,ガスコンロ／	コンロ3口／	システムキッチン	／	カウンターキッチン	／	給湯,光ファイバー,冷房／	エアコン付／	床暖房	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	水道その他／	下水／	都市ガス,駐車場	空有	駐輪場	空有	バイク置き場	空有,【小学校】 800m	【学校】 700m	【スーパー】 240m	【コンビニ】 230m	【ドラッグストア】 400m	【公園】 220m,SRC（鉄骨鉄筋コンクリート）,2年間,449000,34937.15625
24392,24393,東京都台東区谷中１丁目,千代田線	根津駅	徒歩5分		山手線	日暮里駅	徒歩12分		山手線	鶯谷駅	徒歩13分,2DK,28年3ヶ月,南,51.25m2,4階／7階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	洗面台独立,ガスコンロ／	コンロ3口／	給湯,インターネット対応／	CATV,エアコン付	バルコニー／	フローリング／	室内洗濯機置場／	タイル張り	公営水道／	下水／	都市ガス,駐輪場	空有	駐車場	無	バイク置き場	無,【コンビニ】 126m	【スーパー】 475m,RC（鉄筋コンクリート）,,172600,34890.140625
14642,14643,東京都大田区東雪谷１丁目,東急池上線	洗足池駅	徒歩7分		東急池上線	石川台駅	徒歩7分		東急池上線	長原(東京都)駅	徒歩14分,4LDK,10年4ヶ月,西,84.34m2,2階建,バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立,ガスコンロ／	コンロ3口／	システムキッチン	／	カウンターキッチン	／	給湯,光ファイバー,冷房／	エアコン付／	床暖房	床下収納	シューズボックス／	バルコニー／	フローリング／	室内洗濯機置場	水道その他／	下水／	都市ガス,駐車場	空有	駐輪場	空有	バイク置き場	空有,【小学校】 480m	【学校】 1130m	【コンビニ】 380m	【スーパー】 370m	【公園】 540m	【郵便局】 420m,木造,2年間,350000,34841.46875
20081,20082,東京都杉並区高円寺北３丁目,中央線（快速）	高円寺駅	徒歩6分		丸ノ内線(池袋－荻窪)	新高円寺駅	徒歩15分		中央線（快速）	阿佐ケ谷駅	徒歩18分,1LDK,38年4ヶ月,南,52.82m2,2階／3階建,専用バス／	バス・トイレ別／	シャワー／	追焚機能／	温水洗浄便座／	洗面台独立,ガスコンロ／	コンロ3口／	システムキッチン	／	カウンターキッチン	／	給湯,インターネット対応／	光ファイバー,エアコン付	シューズボックス／	バルコニー／	室内洗濯機置場	都市ガス,駐輪場	空有(2台)	0円	駐車場	無,【郵便局】 339m	【図書館】 1482m	【公園】 674m	【病院】 772m	【銀行】 384m	【スーパー】 468m	【コンビニ】 221m	【デパート】 2099m,RC（鉄筋コンクリート）,2年間,185000,34685.84375
12978,12979,東京都目黒区青葉台１丁目9-6,東急東横線	代官山駅	徒歩8分		東急東横線	中目黒駅	徒歩9分		山手線	渋谷駅	徒歩16分,1LDK,2年7ヶ月,東,46.25m2,2階／4階建,バス・トイレ別／	シャワー／	追焚機能／	温水洗浄便座,ガスコンロ／	給湯,インターネット対応／	CATV／	インターネット使用料無料,エアコン付／	床暖房	ウォークインクローゼット	バルコニー／	フローリング／	ペアガラス／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター,"駐車場	空有	54,000円(税込)	駐輪場	無	バイク置き場	無",,RC（鉄筋コンクリート）,2年間,340000,34534.3125
24256,24257,東京都千代田区二番町,総武線・中央線（各停）	四ツ谷駅	徒歩4分		有楽町線	麹町駅	徒歩4分		都営新宿線	市ケ谷駅	徒歩8分,1LDK,7年6ヶ月,西,43.01m2,4階／6階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ2口／	システムキッチン	／	カウンターキッチン	／	給湯,インターネット対応／	光ファイバー／	CATV／	CSアンテナ／	BSアンテナ,エアコン付	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,"駐輪場	空有	駐車場	近隣	48,300円(税込)	距離350m	バイク置き場	無",【スーパー】 490m	【スーパー】 721m	【コンビニ】 96m	【コンビニ】 326m	【公園】 337m,RC（鉄筋コンクリート）,2年間,240000,34426.53125
2061,2062,東京都豊島区池袋２丁目30-10,山手線	池袋駅	徒歩12分		有楽町線	要町駅	徒歩8分		西武池袋線	椎名町駅	徒歩20分,2LDK,38年7ヶ月,南西,80.8m2,2階／3階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ2口／	システムキッチン	／	給湯,インターネット対応,エアコン付	シューズボックス／	バルコニー／	フローリング／	3面採光／	室内洗濯機置場／	タイル張り	公営水道／	下水／	都市ガス,"駐車場	空有	37,800円(税込)	駐輪場	空有	バイク置き場	空有",【スーパー】 337m	【スーパー】 327m	【コンビニ】 203m	【コンビニ】 286m	【病院】 236m,鉄骨造,2年間,250000,34424.09375
28630,28631,東京都品川区東五反田２丁目,山手線	五反田駅	徒歩6分		山手線	大崎駅	徒歩6分		都営浅草線五反田駅徒歩6分,2LDK,9年2ヶ月,東,77.08m2,14階／44階建（地下2階）,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立,ガスコンロ／	システムキッチン	／	給湯,CATV,エアコン付／	床暖房	トランクルーム	／	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	室内洗濯機置場／	エレベーター,"駐車場	空有	35,000円(税込)",,RC（鉄筋コンクリート）,3年間	※この物件は	定期借家	です。,380000,33909.5
20172,20173,東京都豊島区南池袋２丁目,山手線	池袋駅	徒歩5分		有楽町線	東池袋駅	徒歩3分		副都心線	雑司が谷駅	徒歩12分		副都心線：雑司が谷駅,2LDK,22年7ヶ月,南東,62.78m2,8階／12階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	給湯,光ファイバー／	CSアンテナ／	BSアンテナ,エアコン付	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	2面採光／	室内洗濯機置場／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,"駐輪場	空有	駐車場	近隣	30,000円	距離100m",【スーパー】 978m	【スーパー】 912m	【コンビニ】 456m	【コンビニ】 820m	【コンビニ】 817m,SRC（鉄骨鉄筋コンクリート）,4年間	※この物件は	定期借家	です。,248000,33710.4375
7742,7743,東京都港区赤坂６丁目5-38,千代田線	赤坂(東京都)駅	徒歩1分		南北線	六本木一丁目駅	徒歩10分		南北線	溜池山王駅	徒歩7分,1LDK,16年5ヶ月,南,41.19m2,3階／8階建（地下1階）,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	浴室乾燥機	／	温水洗浄便座／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	給湯,光ファイバー／	CATV,冷房／	エアコン付／	床暖房	ウォークインクローゼット	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	2面採光／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,,【図書館】 1490m	【公園】 51m	【コンビニ】 123m	【コンビニ】 240m	【コンビニ】 295m	【スーパー】 234m	【スーパー】 250m,RC（鉄筋コンクリート）,5年間	※この物件は	定期借家	です。,250000,33548.296875
7928,7929,東京都渋谷区広尾４丁目,日比谷線	広尾駅	徒歩6分,2LDK,35年2ヶ月,南,80.5m2,10階／12階建（地下1階）,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	温水洗浄便座／	洗面台独立,ガスコンロ／	システムキッチン,光ファイバー,エアコン付	バルコニー／	室内洗濯機置場／	エレベーター,,【学校】 477m	【コンビニ】 390m	【スーパー】 1m	【公園】 212m	【銀行】 1m,SRC（鉄骨鉄筋コンクリート）,,420000,33480.5625
8971,8972,東京都渋谷区代々木１丁目,山手線	代々木駅	徒歩2分		小田急小田原線	南新宿駅	徒歩4分		副都心線	北参道駅	徒歩7分		小田急線　参宮橋駅,2LDK,20年9ヶ月,南,52m2,3階／3階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	追焚機能／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン,,冷房／	エアコン付	出窓／	バルコニー／	フローリング／	2面採光／	3面採光／	室内洗濯機置場／	エレベーター／	タイル張り	公営水道／	下水／	都市ガス,,【小学校】 1457m	【飲食店】 1363m	【飲食店】 790m	【デパート】 781m	【スーパー】 1450m,RC（鉄筋コンクリート）,2年間,257000,33408.03125
15297,15298,東京都練馬区中村南１丁目30-3,西武新宿線	都立家政駅	徒歩7分		西武池袋線	中村橋駅	徒歩22分		西武新宿線	鷺ノ宮駅	徒歩11分,2LDK,32年5ヶ月,南,61.7m2,3階／3階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	洗面台独立,ガスコンロ／	コンロ2口／	給湯／	独立キッチン,インターネット対応／	CATV,エアコン付	シューズボックス／	バルコニー／	フローリング／	2面採光／	室内洗濯機置場／	敷地内ごみ置き場	／	タイル張り	公営水道／	下水／	都市ガス,"駐輪場	空有	駐車場	近隣	24,840円(税込)	距離200m	バイク置き場	無",【スーパー】 385m	【スーパー】 620m	【コンビニ】 293m	【コンビニ】 466m	【コンビニ】 879m,RC（鉄筋コンクリート）,2年間,155000,33306.859375
9941,9942,東京都練馬区石神井町３丁目,西武池袋線	石神井公園駅	徒歩3分		西武池袋線	練馬高野台駅	徒歩13分		西武新宿線	上井草駅	徒歩26分,2LDK,27年4ヶ月,南,61.1m2,2階／4階建,専用バス／	専用トイレ／	バス・トイレ別／	シャワー／	洗面台独立／	脱衣所,ガスコンロ／	コンロ3口／	システムキッチン	／	給湯,CATV／	BSアンテナ,エアコン付	シューズボックス／	バルコニー／	フローリング／	24時間換気システム	／	室内洗濯機置場／	敷地内ごみ置き場	／	エレベーター	公営水道／	下水／	都市ガス,駐輪場	空有	駐車場	無	バイク置き場	無,【スーパー】 239m	【スーパー】 453m	【スーパー】 535m	【コンビニ】 411m,RC（鉄筋コンクリート）,,168000,33290.5625
2997,2998,東京都練馬区石神井町３丁目,西武池袋線	石神井公園駅	徒歩3分		西武池袋線	練馬高野台駅	徒歩13分		西武新宿線	上井草駅	徒歩26分,2LDK,27年4ヶ月,南,61.1m2,2階／4階建,バス・トイレ別／	シャワー／	洗面台独立／	脱衣所,コンロ3口／	システムキッチン	／	給湯,インターネット対応／	光ファイバー／	CATV／	BSアンテナ,エアコン付	シューズボックス／	バルコニー／	フローリング／	室内洗濯機置場／	エレベーター	公営水道／	下水／	都市ガス,"駐輪場	空有	駐車場	近隣	25,000円	距離100m",【コンビニ】 134m	【スーパー】 118m	【スーパー】 314m	【ドラッグストア】 282m	【幼稚園・保育園】 122m	【病院】 676m	【郵便局】 386m	【公園】 432m,RC（鉄筋コンクリート）,2年間,168000,33278.484375
